,Id,OverallQualitySum,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,0.7699115044247787,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,PConc,706,0,150,856,GasA,856,854,0,1710,1,0,2,1,3,1,8,Typ,0,Attchd,2003.0,2,548,0,61,0,0,0,0,,0,2,2008,WD,Normal,208500
1,2,0.8141592920353983,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,978,0,284,1262,GasA,1262,0,0,1262,0,1,2,0,3,1,6,Typ,1,Attchd,1976.0,2,460,298,0,0,0,0,0,,0,5,2007,WD,Normal,181500
2,3,0.8407079646017699,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,PConc,486,0,434,920,GasA,920,866,0,1786,1,0,2,1,3,1,6,Typ,1,Attchd,2001.0,2,608,0,42,0,0,0,0,,0,9,2008,WD,Normal,223500
3,4,0.7345132743362832,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,BrkTil,216,0,540,756,GasA,961,756,0,1717,1,0,1,0,3,1,7,Typ,1,Detchd,1998.0,3,642,0,35,272,0,0,0,,0,2,2006,WD,Abnorml,140000
4,5,0.8584070796460177,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,PConc,655,0,490,1145,GasA,1145,1053,0,2198,1,0,2,1,4,1,9,Typ,1,Attchd,2000.0,3,836,192,84,0,0,0,0,,0,12,2008,WD,Normal,250000
5,6,0.6902654867256637,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Wood,732,0,64,796,GasA,796,566,0,1362,1,0,1,1,1,1,5,Typ,0,Attchd,1993.0,2,480,40,30,0,320,0,0,Shed,700,10,2009,WD,Normal,143000
6,7,0.8938053097345132,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,PConc,1369,0,317,1686,GasA,1694,0,0,1694,1,0,2,0,3,1,7,Typ,1,Attchd,2004.0,2,636,255,57,0,0,0,0,,0,8,2007,WD,Normal,307000
7,8,0.7699115044247787,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,CBlock,859,32,216,1107,GasA,1107,983,0,2090,1,0,2,1,3,1,7,Typ,2,Attchd,1973.0,2,484,235,204,228,0,0,0,Shed,350,11,2009,WD,Normal,200000
8,9,0.7168141592920354,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,BrkTil,0,0,952,952,GasA,1022,752,0,1774,0,0,2,0,2,2,8,Min1,2,Detchd,1931.0,2,468,90,0,205,0,0,0,,0,4,2008,WD,Abnorml,129900
9,10,0.7876106194690266,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,851,0,140,991,GasA,1077,0,0,1077,1,0,1,0,2,2,5,Typ,2,Attchd,1939.0,1,205,0,4,0,0,0,0,,0,1,2008,WD,Normal,118000
